post_title,post_content,post_status,post_type,tax_ait-items,meta:_ait-item_subtitle,meta:_ait-item_map:address,meta:_ait-item_map:latitude,meta:_ait-item_map:longitude,meta:_ait-item_telephone,meta:_ait-item_web,meta:_ait-item_email,meta:_ait-item_headerType,meta:_ait-item_featuredItem,price_range,source_file,source_sheet
Mandarin Oriental Paris,Historic luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"251 Rue Saint-Honoré, 75001 Paris",,,+33 1 44 77 11 11,www.mandarinoriental.com/paris,mopar@mohg.com,map,true,4,Global_2000,Mandarin_Oriental
Mandarin Oriental London,Knightsbridge icon,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"66 Knightsbridge, SW1X 7LA London",,,+44 20 7235 2000,www.mandarinoriental.com/london,molondon@mohg.com,map,true,4,Global_2000,Mandarin_Oriental
Mandarin Oriental New York,Park view,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"60 Central Park West, 10023 New York",,,+1 212 805 8800,www.mandarinoriental.com/newyork,mony@mohg.com,map,true,4,Global_2000,Mandarin_Oriental
Mandarin Oriental Tokyo,Tower luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"38F, Nihonbashi Mitsui Tower, 103-8308 Tokyo",,,+81 3 3270 8800,www.mandarinoriental.com/tokyo,motyo@mohg.com,map,true,4,Global_2000,Mandarin_Oriental
Mandarin Oriental Hong Kong,Harbour view,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"5 Connaught Road Central, Central Hong Kong",,,+852 2522 0111,www.mandarinoriental.com/hongkong,mohkg@mohg.com,map,true,4,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #6,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #7,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #8,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #9,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #10,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #11,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #12,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #13,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #14,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #15,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #16,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #17,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #18,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #19,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #20,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #21,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #22,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
